Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,113467303,1453.5330187008553,2653924,33.99716095413541,384956,2520550,32.28862018767152,63370,0.8117791201494688,8230,
United States of America,Americas,28174978,8512.01,472904,142.87,72812,506760,153.1,14866,4.49,2106,Community transmission
India,South-East Asia,11096731,804.11,105080,7.61,16752,157051,11.38,749,0.05,113,Clusters of cases
Brazil,Americas,10455630,4918.92,373954,175.93,65169,252835,118.95,8070,3.8,1337,Community transmission
Russian Federation,Europe,4246079,2909.58,81353,55.75,11359,86122,59.01,2829,1.94,379,Clusters of cases
The United Kingdom,Europe,4170523,6143.42,64844,95.52,7434,122705,180.75,2340,3.45,290,Community transmission
France,Europe,3671208,5624.35,149959,229.74,23996,85872,131.56,2165,3.32,185,Community transmission
Spain,Europe,3180212,6801.9,22774,48.71,0,68813,147.18,529,1.13,0,Community transmission
Italy,Europe,2907825,4809.36,112029,185.29,18902,97507,161.27,2021,3.34,280,Clusters of cases
Turkey,Europe,2693164,3193.26,61288,72.67,9193,28503,33.8,520,0.62,71,Community transmission
Germany,Europe,2442336,2915.04,55777,66.57,7890,70045,83.6,2204,2.63,157,Community transmission
Colombia,Americas,2244792,4411.68,27791,54.62,3567,59518,116.97,1007,1.98,122,Community transmission
Argentina,Americas,2104197,4655.74,49516,109.56,5469,51946,114.94,946,2.09,59,Community transmission
Mexico,Americas,2076882,1610.83,46391,35.98,7512,184474,143.08,5509,4.27,782,Community transmission
Poland,Europe,1706986,4510.27,68219,180.25,10101,43769,115.65,1598,4.22,113,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1623159,1932.49,57078,67.96,7975,59980,71.41,571,0.68,81,Community transmission
South Africa,Africa,1512225,2549.75,9858,16.62,1447,49941,84.21,1001,1.69,157,Community transmission
Ukraine,Europe,1347849,3081.94,43393,99.22,5833,25982,59.41,879,2.01,89,Community transmission
Indonesia,South-East Asia,1329074,485.91,57721,21.1,6208,35981,13.15,1665,0.61,195,Community transmission
Peru,Americas,1316363,3992.38,46840,142.06,7641,46094,139.8,1404,4.26,191,Community transmission
Czechia,Europe,1235480,11536.86,82321,768.71,7885,20339,189.92,1125,10.51,145,Community transmission
Netherlands,Europe,1084021,6326.4,32233,188.11,4993,15543,90.71,344,2.01,41,Community transmission
Canada,Americas,861472,2282.52,20886,55.34,3255,21915,58.07,339,0.9,50,Community transmission
Chile,Americas,821418,4296.97,25573,133.78,4489,20476,107.11,502,2.63,76,Community transmission
Portugal,Europe,803844,7883.37,7505,73.6,1071,16276,159.62,379,3.72,33,Clusters of cases
Romania,Europe,799164,4154.16,21888,113.78,3432,20287,105.45,492,2.56,54,Community transmission
Belgium,Europe,769414,6638.82,13875,119.72,0,22052,190.27,135,1.16,0,Community transmission
Israel,Europe,764791,8835.86,17883,206.61,0,5669,65.5,116,1.34,0,Community transmission
Iraq,Eastern Mediterranean,692241,1721.03,27491,68.35,3543,13383,33.27,138,0.34,18,Community transmission
Sweden,Europe,657309,6508.48,22145,219.27,0,12826,127,38,0.38,0,Community transmission
Pakistan,Eastern Mediterranean,578797,262.03,8951,4.05,1315,12837,5.81,274,0.12,33,Community transmission
Philippines,Western Pacific,574247,524.04,14959,13.65,2920,12289,11.21,221,0.2,42,Community transmission
Switzerland,Europe,552290,6381.45,5007,57.85,0,9219,106.52,30,0.35,0,Community transmission
Bangladesh,South-East Asia,545831,331.43,2807,1.7,407,8400,5.1,58,0.04,5,Community transmission
Morocco,Eastern Mediterranean,483410,1309.68,2462,6.67,416,8615,23.34,67,0.18,7,Clusters of cases
Serbia,Europe,456450,6554.64,22328,320.63,3210,4429,63.6,108,1.55,15,Community transmission
Austria,Europe,453767,5038.27,13888,154.2,2561,8394,93.2,147,1.63,20,Community transmission
Japan,Western Pacific,431740,341.36,7233,5.72,1201,7860,6.21,443,0.35,53,Clusters of cases
Hungary,Europe,428599,4436.68,25576,264.75,4469,14974,155,675,6.99,72,Community transmission
United Arab Emirates,Eastern Mediterranean,388594,3929,20419,206.45,3434,1213,12.26,105,1.06,15,Community transmission
Jordan,Eastern Mediterranean,386496,3788.01,26685,261.54,2584,4675,45.82,132,1.29,25,Community transmission
Saudi Arabia,Eastern Mediterranean,377061,1083.08,2370,6.81,338,6488,18.64,31,0.09,5,Sporadic cases
Lebanon,Eastern Mediterranean,372775,5461.55,19404,284.29,3100,4652,68.16,355,5.2,42,Community transmission
Panama,Americas,339781,7874.84,4442,102.95,398,5820,134.89,109,2.53,10,Community transmission
Slovakia,Europe,308083,5642.92,15940,291.96,1815,7189,131.68,684,12.53,114,Clusters of cases
Malaysia,Western Pacific,298315,921.69,18043,55.75,2364,1121,3.46,70,0.22,10,Clusters of cases
